FILENAME|OBS_ID|PROGRAM|OBS_NUM|VISIT|VISIT_ID|VISITGRP|VISITYPE|SEQ_ID|ACT_ID|EXPOSURE|EXP_TYPE|NEXPOSUR|EXPCOUNT|INSTRUME|DETECTOR|CHANNEL|TARGETID|TARGPROP|TARGNAME|TARGTYPE|TEMPLATE|PNTGTYPE|PNTG_SEQ|TARGORDN|EXPSPCIN|DITHPTIN|MOSTILNO|MODULE|FILTER|PUPIL|DITHERID|PATTTYPE|PATTSTRT|NUMDTHPT|PATTSIZE|SUBPXPTS|PATT_NUM|SUBPIXEL|APERNAME|SDP_VER|SUBARRAY|GRATING|FXD_SLIT|BAND|GWA_XTIL|GWA_YTIL|ASN_CANDIDATE|EXPOSERR|IS_PSF|IS_IMPRT|BKGDTARG|TSOVISIT|MSASTATE|MSAMETFL|OPMODE|LAMP|SPEC_NUM|SPAT_NUM|DMS_NOTE|EXSEGTOT|NINTS|NGROUPS
jw02235001001_0310c_00003_nrcb4_uncal.fits|V02235001001P000000000310C|2235|1|1|02235001001|3|PRIME_TARGETED_FIXED|1|0C|3|NRC_IMAGE|24|21|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|23|1|6|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235001001_0310c_00003_nrcblong_uncal.fits|V02235001001P000000000310C|2235|1|1|02235001001|3|PRIME_TARGETED_FIXED|1|0C|3|NRC_IMAGE|24|21|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|23|1|6|3|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235001001_0310c_00004_nrcb1_uncal.fits|V02235001001P000000000310C|2235|1|1|02235001001|3|PRIME_TARGETED_FIXED|1|0C|4|NRC_IMAGE|24|21|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|24|1|6|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235001001_0310c_00004_nrcb2_uncal.fits|V02235001001P000000000310C|2235|1|1|02235001001|3|PRIME_TARGETED_FIXED|1|0C|4|NRC_IMAGE|24|21|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|24|1|6|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235001001_0310c_00004_nrcb3_uncal.fits|V02235001001P000000000310C|2235|1|1|02235001001|3|PRIME_TARGETED_FIXED|1|0C|4|NRC_IMAGE|24|21|NIRCAM|NRCB3|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|24|1|6|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB3_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235001001_0310c_00004_nrcb4_uncal.fits|V02235001001P000000000310C|2235|1|1|02235001001|3|PRIME_TARGETED_FIXED|1|0C|4|NRC_IMAGE|24|21|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|24|1|6|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235001001_0310c_00004_nrcblong_uncal.fits|V02235001001P000000000310C|2235|1|1|02235001001|3|PRIME_TARGETED_FIXED|1|0C|4|NRC_IMAGE|24|21|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|24|1|6|4|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o001', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00001_nrcb1_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|1|NRC_IMAGE|24|1|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|1|1|1|1|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00001_nrcb2_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|1|NRC_IMAGE|24|1|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|1|1|1|1|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00001_nrcb3_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|1|NRC_IMAGE|24|1|NIRCAM|NRCB3|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|1|1|1|1|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB3_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00001_nrcb4_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|1|NRC_IMAGE|24|1|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|1|1|1|1|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00001_nrcblong_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|1|NRC_IMAGE|24|1|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|1|1|1|1|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00002_nrcb1_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|2|NRC_IMAGE|24|1|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|2|1|1|2|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00002_nrcb2_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|2|NRC_IMAGE|24|1|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|2|1|1|2|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00002_nrcb3_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|2|NRC_IMAGE|24|1|NIRCAM|NRCB3|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|2|1|1|2|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB3_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00002_nrcb4_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|2|NRC_IMAGE|24|1|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|2|1|1|2|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00002_nrcblong_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|2|NRC_IMAGE|24|1|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|2|1|1|2|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00003_nrcb1_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|3|NRC_IMAGE|24|1|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|3|1|1|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00003_nrcb2_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|3|NRC_IMAGE|24|1|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|3|1|1|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00003_nrcb3_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|3|NRC_IMAGE|24|1|NIRCAM|NRCB3|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|3|1|1|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB3_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00003_nrcb4_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|3|NRC_IMAGE|24|1|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|3|1|1|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00003_nrcblong_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|3|NRC_IMAGE|24|1|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|3|1|1|3|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00004_nrcb1_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|4|NRC_IMAGE|24|1|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|4|1|1|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00004_nrcb2_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|4|NRC_IMAGE|24|1|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|4|1|1|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00004_nrcb3_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|4|NRC_IMAGE|24|1|NIRCAM|NRCB3|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|4|1|1|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB3_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00004_nrcb4_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|4|NRC_IMAGE|24|1|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|4|1|1|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03102_00004_nrcblong_uncal.fits|V02235002001P0000000003102|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|02|4|NRC_IMAGE|24|1|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|4|1|1|4|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00001_nrcb1_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|1|NRC_IMAGE|24|5|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|5|1|2|1|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00001_nrcb2_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|1|NRC_IMAGE|24|5|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|5|1|2|1|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00001_nrcb3_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|1|NRC_IMAGE|24|5|NIRCAM|NRCB3|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|5|1|2|1|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB3_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00001_nrcb4_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|1|NRC_IMAGE|24|5|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|5|1|2|1|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00001_nrcblong_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|1|NRC_IMAGE|24|5|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|5|1|2|1|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|1|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00002_nrcb1_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|2|NRC_IMAGE|24|5|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|6|1|2|2|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00002_nrcb2_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|2|NRC_IMAGE|24|5|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|6|1|2|2|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00002_nrcb3_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|2|NRC_IMAGE|24|5|NIRCAM|NRCB3|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|6|1|2|2|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB3_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00002_nrcb4_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|2|NRC_IMAGE|24|5|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|6|1|2|2|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00002_nrcblong_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|2|NRC_IMAGE|24|5|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|6|1|2|2|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|2|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00003_nrcb1_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|3|NRC_IMAGE|24|5|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|7|1|2|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00003_nrcb2_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|3|NRC_IMAGE|24|5|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|7|1|2|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00003_nrcb3_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|3|NRC_IMAGE|24|5|NIRCAM|NRCB3|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|7|1|2|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB3_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00003_nrcb4_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|3|NRC_IMAGE|24|5|NIRCAM|NRCB4|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|7|1|2|3|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB4_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00003_nrcblong_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|3|NRC_IMAGE|24|5|NIRCAM|NRCBLONG|LONG|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|7|1|2|3|1|B|F480M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|3|NULL|NRCB5_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00004_nrcb1_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|4|NRC_IMAGE|24|5|NIRCAM|NRCB1|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|8|1|2|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB1_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
jw02235002001_03104_00004_nrcb2_uncal.fits|V02235002001P0000000003104|2235|2|1|02235002001|3|PRIME_TARGETED_FIXED|1|04|4|NRC_IMAGE|24|5|NIRCAM|NRCB2|SHORT|1|SGRA|NULL|FIXED|NIRCam Imaging|SCIENCE|8|1|2|4|1|B|F210M|CLEAR|1|SUBARRAY_DITHER|NULL|4|NULL|1|4|NULL|NRCB2_SUB640|2025_1|SUB640|NULL|NULL|NULL|NULL|NULL|[('o002', 'OBSERVATION')]|NULL|NULL|NULL|F|F|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|19|10
